Show ID,Show,Date,Venue,Band,Band ID,Memorable Set,Notes
56,Zombie Tour,8/14/2022,Danforth Music Hall,Stray from the Path,114,,
56,Zombie Tour,8/14/2022,Danforth Music Hall,Dying Wish,43,,
57,Winterizer 2010,11/27/2010,London Music Hall,Silverstein,111,,
57,Winterizer 2010,11/27/2010,London Music Hall,For Today,55,,
57,Winterizer 2010,11/27/2010,London Music Hall,The Devil Wears Prada,39,,
58,Devy North America 2020,2/27/2020,The Phoenix,Devin Townsend,40,X,Suuuch a vibe - did the whole tour with Che and played some Casualties of Cool songs; Sara loved it
58,Devy North America 2020,2/27/2020,The Phoenix,The Contortionist,30,,
58,Devy North America 2020,2/27/2020,The Phoenix,Haken,61,,
59,Do You Even Riff? Tour,8/16/2013,Hard Luck Bar,Auras,16,,
59,Do You Even Riff? Tour,8/16/2013,Hard Luck Bar,Ever Forthright,47,,
60,The Faceless Headliner 2013,6/11/2013,Annex Wreckroom,The Faceless,49,,
60,The Faceless Headliner 2013,6/11/2013,Annex Wreckroom,Rings of Saturn,103,,
60,The Faceless Headliner 2013,6/11/2013,Annex Wreckroom,Within the Ruins,136,,
60,The Faceless Headliner 2013,6/11/2013,Annex Wreckroom,The Kindred (Today I Caught the Plague),73,,
61,Arsonists Tour Summer 2011,6/21/2011,Club Absinthe,Structures,115,,
61,Arsonists Tour Summer 2011,6/21/2011,Club Absinthe,Volumes,133,,
61,Arsonists Tour Summer 2011,6/21/2011,Club Absinthe,Fall in Archaea,50,,
61,Arsonists Tour Summer 2011,6/21/2011,Club Absinthe,Arsonists Get All the Girls,173,,
62,Fall of Troy Farewell 2010,4/15/2010,Annex Wreckroom,The Fall of Troy,51,X,Rody (PTH) hopped on stage to sing Dirty Pillow Talk!
63,Sheet Happens Tour 2022,9/10/2022,Opera House,Intervals,65,,
63,Sheet Happens Tour 2022,9/10/2022,Opera House,Mandroid Echostar,80,,
63,Sheet Happens Tour 2022,9/10/2022,Opera House,Falset,53,,
64,The Shape of Colour Tour,4/23/2016,Adelaide Hall,Intervals,65,,
64,The Shape of Colour Tour,4/23/2016,Adelaide Hall,Plini,97,,
64,The Shape of Colour Tour,4/23/2016,Adelaide Hall,The Helix Nebula,62,,
64,The Shape of Colour Tour,4/23/2016,Adelaide Hall,Save Us From the Archon,106,,
65,One Last Time,12/13/2019,Danforth Music Hall,Hollerado,63,,
66,Hollerado Canadian Tour,9/26/2013,The Starlight,Hollerado,63,,
66,Hollerado Canadian Tour,9/26/2013,The Starlight,Pup,174,,
67,Wakestock 2010,8/6/2010,Millenium Overlook Park,Hollerado,63,,
67,Wakestock 2010,8/6/2010,Millenium Overlook Park,Alexisonfire,7,,
68,Hollerado Fall Tour 2011,10/15/2011,Opera House,Hollerado,63,,
69,Structures Headliner,5/13/2013,Club Absinthe,Structures,115,,
69,Structures Headliner,5/13/2013,Club Absinthe,Texas in July,119,,
